frame_idx,cx,cy
0,48.33,313.12
1,48.09,313.10
2,48.12,313.12
3,48.56,313.05
4,48.22,312.95
5,48.14,313.00
6,48.16,312.98
7,48.09,312.94
8,48.12,312.90
9,48.11,313.00
10,48.14,312.99
11,48.09,313.07
12,48.09,313.00
13,48.12,313.00
14,48.14,313.02
15,48.12,312.94
16,48.13,312.91
17,48.14,312.89
18,48.19,312.90
19,48.16,312.89
20,48.15,312.94
21,48.15,312.90
22,48.21,312.97
23,48.21,312.91
24,48.24,312.94
25,48.20,312.89
26,48.20,312.86
27,48.23,313.04
28,48.26,313.11
29,48.20,313.01
30,48.23,312.93
31,48.11,312.90
32,48.09,312.92
33,48.14,312.89
34,48.14,312.90
35,48.18,312.94
36,48.20,312.95
37,48.15,313.01
38,48.29,312.91
39,48.16,312.88
40,48.14,313.04
41,48.52,313.05
42,49.09,312.63
43,49.30,312.71
44,49.37,312.69
45,49.31,312.85
46,49.15,312.88
47,49.08,312.86
48,48.98,313.01
49,49.10,312.75
50,49.13,312.63
51,49.12,312.70
52,49.05,312.68
53,49.16,312.77
54,49.65,312.39
55,49.66,312.34
56,49.89,312.48
57,49.88,312.46
58,49.95,312.38
59,49.99,312.32
60,49.93,312.33
61,50.06,312.51
62,50.68,312.60
63,51.08,312.58
64,51.68,312.68
65,52.08,312.58
66,52.47,312.51
67,52.51,312.46
68,52.54,312.54
69,52.55,312.62
70,53.17,312.46
71,53.62,312.44
72,54.16,312.45
73,54.41,312.25
74,54.56,312.24
75,54.65,312.23
76,54.76,312.25
77,55.35,311.94
78,56.12,311.48
79,56.76,311.00
80,57.01,311.03
81,57.05,311.05
82,56.68,311.18
83,55.88,312.40
84,56.08,312.18
85,56.07,312.24
86,56.08,312.27
87,56.05,312.31
88,55.96,312.37
89,55.90,312.47
90,55.82,312.45
91,55.77,312.50
92,55.79,312.44
93,55.78,312.43
94,55.68,312.85
95,55.43,313.12
96,55.11,313.43
97,54.77,313.73
98,54.59,313.77
99,54.24,314.05
100,53.71,314.53
101,53.26,314.91
102,52.98,315.09
103,52.81,315.23
104,52.92,315.25
105,52.86,315.30
106,52.66,315.39
107,52.70,315.42
108,52.67,315.37
109,52.66,315.37
110,52.66,315.39
111,52.64,315.42
112,52.40,315.55
113,52.24,315.68
114,52.21,315.62
115,52.89,315.14
116,53.55,314.49
117,53.87,314.54
118,53.57,314.71
119,53.35,315.03
120,52.97,315.08
121,52.92,315.20
122,52.90,315.42
123,52.72,315.63
124,51.95,315.83
125,51.52,316.08
126,51.49,316.04
127,51.71,315.81
128,51.39,316.06
129,50.66,316.39
130,50.02,316.81
131,49.14,317.32
132,48.78,317.29
133,48.51,317.53
134,47.49,318.38
135,45.91,319.73
136,44.97,319.62
137,43.26,319.19
138,39.44,317.88
139,38.63,318.05
140,38.34,318.05
141,38.36,318.16
142,38.33,318.36
143,38.22,318.41
144,38.10,318.43
145,38.12,318.41
146,38.05,318.52
147,37.86,318.61
148,37.93,318.80
149,37.91,318.93
150,37.98,318.98
151,37.85,319.02
152,37.83,318.99
153,37.83,318.99
154,37.82,319.16
155,37.93,319.29
156,37.93,319.32
157,37.83,319.36
158,37.84,319.35
159,37.79,319.43
160,37.92,319.53
161,37.92,319.59
162,37.85,319.38
163,37.76,319.40
164,37.77,319.37
165,37.73,319.33
166,37.83,319.53
167,37.76,319.34
168,37.70,319.29
169,37.76,319.26
170,37.65,319.36
171,37.66,319.43
172,37.71,319.48
173,37.76,319.45
174,37.72,319.53
175,37.79,319.60
176,37.76,319.58
177,37.73,319.56
178,37.70,319.60
179,37.72,319.37
180,37.61,319.28
181,37.56,318.95
182,37.50,318.81
183,37.59,318.82
184,37.43,318.52
185,37.32,318.45
186,37.23,318.23
187,37.34,318.32
188,37.67,318.49
189,37.84,318.57
190,37.76,318.75
191,37.64,318.70
192,37.69,318.81
193,37.78,319.32
194,38.12,318.90
195,37.94,318.87
196,38.05,318.91
197,38.25,319.10
198,38.29,319.16
199,38.25,318.89
200,38.53,318.88
201,39.84,318.88
202,41.16,319.44
203,42.39,320.39
204,43.31,322.01
205,44.02,324.29
206,43.97,327.08
207,43.42,329.84
208,42.69,331.90
209,42.20,332.85
210,42.12,333.34
211,41.77,333.63
212,41.57,333.79
213,41.09,333.74
214,40.54,333.69
215,40.21,333.52
216,39.96,333.50
217,39.75,333.43
218,39.63,333.12
219,39.66,332.74
220,40.00,332.32
221,40.45,331.74
222,40.28,330.92
223,40.25,329.33
224,40.61,328.83
225,41.01,328.54
226,40.85,327.72
227,41.01,327.32
228,41.56,327.58
229,42.23,327.53
230,42.54,327.11
231,43.16,326.70
232,44.10,326.37
233,46.19,325.99
234,46.05,331.23
235,46.21,330.63
236,46.48,330.30
237,46.23,329.99
238,46.17,328.17
239,45.96,326.98
240,46.41,327.31
241,46.63,327.26
242,47.99,328.10
243,45.18,321.06
244,46.06,321.19
245,46.18,321.43
246,45.42,321.13
247,44.95,320.90
248,49.48,318.48
249,50.94,317.36
