frame_idx,aperture,state
0,0.90761,OPEN
1,0.90676,OPEN
2,0.90642,OPEN
3,0.90671,OPEN
4,0.90823,OPEN
5,0.90854,OPEN
6,0.90897,OPEN
7,0.90797,OPEN
8,0.90677,OPEN
9,0.90806,OPEN
10,0.90925,OPEN
11,0.90814,OPEN
12,0.90848,OPEN
13,0.90777,OPEN
14,0.90737,OPEN
15,0.90756,OPEN
16,0.90913,OPEN
17,0.90981,OPEN
18,0.90900,OPEN
19,0.90888,OPEN
20,0.90874,OPEN
21,0.90983,OPEN
22,0.90776,OPEN
23,0.90819,OPEN
24,0.90788,OPEN
25,0.90921,OPEN
26,0.90789,OPEN
27,0.90713,OPEN
28,0.90712,OPEN
29,0.90687,OPEN
30,0.90840,OPEN
31,0.90835,OPEN
32,0.90918,OPEN
33,0.90984,OPEN
34,0.90880,OPEN
35,0.90933,OPEN
36,0.90957,OPEN
37,0.90916,OPEN
38,0.91018,OPEN
39,0.90947,OPEN
40,0.90937,OPEN
41,0.89625,OPEN
42,0.83111,OPEN
43,0.81957,OPEN
44,0.81961,OPEN
45,0.81877,OPEN
46,0.81751,OPEN
47,0.81751,OPEN
48,0.81717,OPEN
49,0.82126,OPEN
50,0.82347,OPEN
51,0.82275,OPEN
52,0.82216,OPEN
53,0.82019,OPEN
54,0.79487,OPEN
55,0.79156,OPEN
56,0.78216,OPEN
57,0.77949,OPEN
58,0.78026,OPEN
59,0.77874,OPEN
60,0.77913,OPEN
61,0.77639,OPEN
62,0.73679,OPEN
63,0.70308,OPEN
64,0.65074,OPEN
65,0.63280,OPEN
66,0.60570,OPEN
67,0.59272,OPEN
68,0.59188,OPEN
69,0.58511,OPEN
70,0.54506,OPEN
71,0.50610,OPEN
72,0.46326,CLOSED
73,0.44515,CLOSED
74,0.42594,CLOSED
75,0.42064,CLOSED
76,0.40782,CLOSED
77,0.34197,CLOSED
78,0.25026,CLOSED
79,0.18818,CLOSED
80,0.14491,CLOSED
81,0.11223,CLOSED
82,0.09296,CLOSED
83,0.07648,CLOSED
84,0.07200,CLOSED
85,0.07114,CLOSED
86,0.07049,CLOSED
87,0.07199,CLOSED
88,0.07358,CLOSED
89,0.07403,CLOSED
90,0.07426,CLOSED
91,0.07445,CLOSED
92,0.07341,CLOSED
93,0.07364,CLOSED
94,0.07845,CLOSED
95,0.08239,CLOSED
96,0.08823,CLOSED
97,0.09279,CLOSED
98,0.09486,CLOSED
99,0.09968,CLOSED
100,0.10847,CLOSED
101,0.11525,CLOSED
102,0.11823,CLOSED
103,0.11926,CLOSED
104,0.11826,CLOSED
105,0.11784,CLOSED
106,0.11920,CLOSED
107,0.11870,CLOSED
108,0.11802,CLOSED
109,0.11745,CLOSED
110,0.11725,CLOSED
111,0.11739,CLOSED
112,0.12019,CLOSED
113,0.12224,CLOSED
114,0.12164,CLOSED
115,0.11290,CLOSED
116,0.10177,CLOSED
117,0.09906,CLOSED
118,0.10396,CLOSED
119,0.10628,CLOSED
120,0.10929,CLOSED
121,0.11091,CLOSED
122,0.11340,CLOSED
123,0.11685,CLOSED
124,0.12451,CLOSED
125,0.13013,CLOSED
126,0.12841,CLOSED
127,0.12452,CLOSED
128,0.12783,CLOSED
129,0.13577,CLOSED
130,0.14241,CLOSED
131,0.15249,CLOSED
132,0.14802,CLOSED
133,0.14249,CLOSED
134,0.14448,CLOSED
135,0.15111,CLOSED
136,0.13133,CLOSED
137,0.10507,CLOSED
138,0.05787,CLOSED
139,0.03756,CLOSED
140,0.03721,CLOSED
141,0.03899,CLOSED
