frame_idx,label,cx,cy
0,football,136.09,182.63
0,water bottle,269.28,160.24
0,vitamin bottle,178.69,288.79
1,football,136.30,182.49
1,water bottle,269.31,159.91
1,vitamin bottle,179.09,288.76
2,football,136.48,182.30
2,water bottle,269.58,159.44
2,vitamin bottle,179.55,288.48
3,football,136.12,181.88
3,water bottle,269.36,158.77
3,vitamin bottle,179.37,288.08
4,football,134.22,180.77
4,water bottle,267.88,157.97
4,vitamin bottle,178.23,287.31
5,football,134.61,182.26
5,water bottle,266.32,157.29
5,vitamin bottle,177.21,286.64
6,football,134.17,181.90
6,water bottle,265.56,156.82
6,vitamin bottle,176.75,286.12
7,football,134.57,181.77
7,water bottle,266.25,156.41
7,vitamin bottle,177.24,286.01
8,football,134.96,181.88
8,water bottle,266.62,156.45
8,vitamin bottle,177.86,286.30
9,football,135.36,181.99
9,water bottle,267.19,156.63
9,vitamin bottle,178.36,286.60
10,football,135.87,182.14
10,water bottle,267.70,156.67
10,vitamin bottle,178.81,286.73
11,football,135.94,182.84
11,water bottle,267.82,157.71
11,vitamin bottle,178.84,287.68
12,football,136.02,183.20
12,water bottle,268.02,158.42
12,vitamin bottle,178.92,288.21
13,football,136.98,183.17
13,water bottle,269.23,158.67
13,vitamin bottle,179.59,288.37
14,football,137.68,183.15
14,water bottle,270.14,159.04
14,vitamin bottle,180.15,288.66
15,football,137.55,182.99
15,water bottle,270.23,158.89
15,vitamin bottle,180.14,288.59
16,football,137.56,182.41
16,water bottle,270.31,158.29
16,vitamin bottle,180.05,288.18
17,football,138.36,180.69
17,water bottle,271.65,156.52
17,vitamin bottle,180.77,286.86
18,football,139.61,178.79
18,water bottle,273.65,154.36
18,vitamin bottle,181.88,285.20
19,football,140.56,176.46
19,water bottle,275.30,151.51
19,vitamin bottle,182.91,283.32
20,football,141.02,175.09
20,water bottle,277.01,149.43
20,vitamin bottle,183.57,282.23
21,football,141.80,173.57
21,water bottle,278.47,147.47
21,vitamin bottle,184.33,281.14
22,football,142.99,171.72
22,water bottle,279.93,145.36
22,vitamin bottle,185.59,279.99
23,football,143.47,169.28
23,water bottle,281.00,142.75
23,vitamin bottle,186.43,278.33
24,football,143.91,167.05
24,water bottle,281.99,140.34
24,vitamin bottle,186.91,276.96
25,football,144.97,165.22
25,water bottle,283.53,138.72
25,vitamin bottle,188.06,276.30
26,football,146.71,164.82
26,water bottle,285.54,138.03
26,vitamin bottle,189.96,276.81
27,football,147.27,166.93
27,water bottle,286.48,140.05
27,vitamin bottle,191.41,279.83
28,football,147.10,165.78
28,water bottle,286.71,138.86
28,vitamin bottle,191.40,279.50
29,football,145.60,161.50
29,water bottle,286.03,133.95
29,vitamin bottle,189.52,275.84
30,football,142.87,158.03
30,water bottle,284.37,130.00
30,vitamin bottle,186.86,273.21
31,football,139.38,157.09
31,water bottle,282.66,129.03
31,vitamin bottle,183.85,272.88
32,football,138.53,155.66
32,water bottle,282.54,128.10
32,vitamin bottle,182.36,272.76
33,football,141.03,152.61
33,water bottle,284.74,125.78
33,vitamin bottle,184.35,272.01
34,football,143.35,149.95
34,water bottle,286.98,124.11
34,vitamin bottle,187.51,272.10
35,football,145.56,148.98
35,water bottle,288.72,123.30
35,vitamin bottle,190.14,273.36
36,football,146.07,147.44
36,water bottle,289.43,122.45
36,vitamin bottle,191.23,274.11
37,football,146.10,144.37
37,water bottle,289.91,119.87
37,vitamin bottle,192.19,273.77
38,football,145.29,140.70
38,water bottle,289.77,115.89
38,vitamin bottle,192.30,272.47
39,football,142.75,139.70
39,water bottle,288.95,113.93
39,vitamin bottle,190.36,273.05
40,football,141.06,140.61
40,water bottle,288.39,114.32
40,vitamin bottle,189.28,275.54
41,football,140.14,136.88
41,water bottle,288.23,111.05
41,vitamin bottle,189.26,275.12
42,football,137.96,133.92
42,water bottle,287.54,109.44
42,vitamin bottle,187.01,275.85
43,football,135.50,130.31
43,water bottle,286.94,106.46
43,vitamin bottle,185.81,275.74
44,football,132.52,125.82
44,water bottle,286.15,102.36
44,vitamin bottle,184.28,275.03
45,football,128.99,122.31
45,water bottle,285.23,99.41
45,vitamin bottle,182.21,275.26
46,football,124.15,116.92
46,water bottle,283.77,94.62
46,vitamin bottle,179.39,274.24
47,football,119.18,113.66
47,water bottle,282.24,91.73
47,vitamin bottle,176.57,274.73
48,football,116.39,110.63
48,water bottle,281.20,89.67
48,vitamin bottle,174.98,275.92
49,football,114.01,105.76
49,water bottle,280.16,86.60
49,vitamin bottle,175.28,276.01
50,football,112.23,101.44
50,water bottle,279.37,84.38
50,vitamin bottle,175.06,276.68
51,football,109.99,97.53
51,water bottle,278.40,82.71
51,vitamin bottle,174.86,277.82
52,football,107.68,94.48
52,water bottle,277.34,81.29
52,vitamin bottle,174.57,279.60
53,football,105.32,92.80
53,water bottle,276.60,81.19
53,vitamin bottle,173.40,282.01
54,football,100.53,87.49
54,water bottle,274.41,79.22
54,vitamin bottle,170.96,282.38
55,football,94.77,83.01
55,water bottle,271.64,77.03
55,vitamin bottle,168.01,282.61
56,football,90.22,82.48
56,water bottle,270.22,77.38
56,vitamin bottle,164.66,285.64
57,football,85.54,78.17
57,water bottle,268.17,75.96
57,vitamin bottle,161.30,286.48
58,football,80.71,73.09
58,water bottle,265.94,73.95
58,vitamin bottle,157.77,286.44
59,football,75.92,71.51
59,water bottle,264.33,73.75
59,vitamin bottle,153.62,288.60
60,football,71.72,71.18
60,water bottle,263.09,74.38
60,vitamin bottle,149.86,291.91
61,football,67.57,69.80
61,water bottle,261.71,73.95
61,vitamin bottle,146.84,293.97
62,football,61.59,68.58
62,water bottle,258.58,72.62
62,vitamin bottle,142.69,294.68
63,football,56.49,69.01
63,water bottle,256.10,71.89
63,vitamin bottle,138.88,296.11
64,football,54.19,69.55
64,water bottle,253.93,70.68
64,vitamin bottle,136.30,296.70
65,football,52.92,69.08
65,water bottle,251.73,67.96
65,vitamin bottle,134.53,295.52
66,football,52.04,69.50
66,water bottle,249.64,65.99
66,vitamin bottle,132.74,294.64
67,football,50.96,69.92
67,water bottle,247.93,64.72
67,vitamin bottle,130.96,294.22
68,football,50.25,70.11
68,water bottle,247.14,64.43
68,vitamin bottle,129.82,294.93
69,football,49.95,70.48
69,water bottle,247.48,65.15
69,vitamin bottle,128.66,296.70
70,football,50.22,71.50
70,water bottle,247.77,65.31
70,vitamin bottle,128.31,297.75
71,football,51.14,72.31
71,water bottle,249.40,66.07
71,vitamin bottle,128.66,299.55
72,football,52.06,72.91
72,water bottle,250.37,66.17
72,vitamin bottle,129.13,300.49
73,football,52.79,72.86
73,water bottle,250.92,65.95
73,vitamin bottle,129.83,300.93
74,football,52.93,73.44
74,water bottle,251.77,66.87
74,vitamin bottle,129.80,302.50
75,football,53.00,73.41
75,water bottle,251.92,66.91
75,vitamin bottle,129.72,302.80
76,football,53.26,73.28
76,water bottle,251.71,66.32
76,vitamin bottle,129.70,302.35
77,football,53.76,73.70
77,water bottle,251.34,65.27
77,vitamin bottle,129.76,301.38
78,football,54.11,73.54
78,water bottle,251.08,63.75
78,vitamin bottle,130.49,300.18
79,football,53.81,73.07
79,water bottle,250.22,63.05
79,vitamin bottle,130.48,299.68
80,football,53.91,73.43
80,water bottle,250.52,63.55
80,vitamin bottle,130.49,300.64
81,football,54.46,72.50
81,water bottle,250.65,62.83
81,vitamin bottle,131.51,299.86
82,football,54.96,72.73
82,water bottle,251.13,63.11
82,vitamin bottle,132.29,301.64
83,football,55.31,74.54
83,water bottle,252.73,65.44
83,vitamin bottle,132.92,306.12
84,football,56.44,74.84
84,water bottle,253.99,66.15
84,vitamin bottle,134.86,305.80
85,football,57.24,74.88
85,water bottle,254.86,66.47
85,vitamin bottle,136.17,306.24
86,football,58.15,74.71
86,water bottle,255.61,66.56
86,vitamin bottle,137.75,306.70
87,football,58.62,74.24
87,water bottle,255.79,66.23
87,vitamin bottle,138.56,307.30
88,football,59.03,73.90
88,water bottle,255.84,65.92
88,vitamin bottle,139.14,307.72
89,football,59.27,73.90
89,water bottle,256.11,65.96
89,vitamin bottle,139.77,308.11
90,football,59.11,73.77
90,water bottle,255.66,65.62
90,vitamin bottle,139.83,308.26
91,football,58.92,74.09
91,water bottle,255.61,65.80
91,vitamin bottle,139.90,308.29
92,football,58.89,74.14
92,water bottle,255.79,65.99
92,vitamin bottle,139.72,308.19
93,football,59.23,74.02
93,water bottle,256.55,66.43
93,vitamin bottle,139.90,308.36
94,football,59.47,74.05
94,water bottle,256.98,66.62
94,vitamin bottle,140.23,309.28
95,football,59.26,74.17
95,water bottle,256.83,66.50
95,vitamin bottle,140.46,310.06
96,football,58.91,74.13
96,water bottle,256.46,66.19
96,vitamin bottle,140.30,311.06
97,football,57.70,73.92
97,water bottle,255.02,65.25
97,vitamin bottle,139.57,312.01
98,football,56.40,74.06
98,water bottle,253.66,64.81
98,vitamin bottle,138.96,312.21
99,football,55.65,74.12
99,water bottle,252.96,64.68
99,vitamin bottle,138.17,312.81
100,football,55.27,73.56
100,water bottle,252.37,63.88
100,vitamin bottle,136.67,314.54
101,football,55.00,73.55
101,water bottle,251.95,63.59
101,vitamin bottle,135.52,315.72
102,football,55.01,73.63
102,water bottle,252.03,63.72
102,vitamin bottle,135.14,316.15
103,football,54.64,73.58
103,water bottle,251.70,63.44
103,vitamin bottle,134.52,316.52
104,football,54.17,73.72
104,water bottle,251.19,63.35
104,vitamin bottle,134.61,316.41
105,football,54.00,73.65
105,water bottle,251.08,63.36
105,vitamin bottle,134.69,316.41
106,football,53.66,73.65
106,water bottle,250.81,63.32
106,vitamin bottle,134.33,316.76
107,football,53.40,73.68
107,water bottle,250.44,63.26
107,vitamin bottle,134.50,316.73
108,football,53.21,73.70
108,water bottle,250.31,63.37
108,vitamin bottle,134.43,316.49
109,football,53.24,73.67
109,water bottle,250.41,63.48
109,vitamin bottle,134.43,316.42
110,football,53.17,73.71
110,water bottle,250.39,63.52
110,vitamin bottle,134.54,316.40
111,football,53.25,73.60
111,water bottle,250.52,63.75
111,vitamin bottle,134.32,316.44
112,football,53.73,73.38
112,water bottle,250.87,63.82
112,vitamin bottle,133.57,316.78
113,football,54.00,73.45
113,water bottle,250.92,63.83
113,vitamin bottle,133.02,317.00
114,football,53.78,73.84
114,water bottle,250.64,64.27
114,vitamin bottle,132.63,316.47
115,football,52.55,73.94
115,water bottle,249.04,64.30
115,vitamin bottle,134.07,314.61
116,football,50.76,74.35
116,water bottle,246.32,63.88
116,vitamin bottle,135.49,312.19
117,football,49.95,74.25
117,water bottle,243.91,63.03
117,vitamin bottle,135.54,311.42
118,football,49.25,73.54
118,water bottle,241.12,61.38
118,vitamin bottle,135.28,312.46
119,football,48.92,73.47
119,water bottle,239.08,60.64
119,vitamin bottle,135.35,312.46
120,football,49.21,73.31
120,water bottle,238.28,60.33
120,vitamin bottle,136.73,311.47
121,football,49.13,72.43
121,water bottle,236.76,59.24
121,vitamin bottle,138.42,312.09
122,football,49.18,71.26
122,water bottle,235.98,58.15
122,vitamin bottle,140.37,314.47
123,football,50.35,69.68
123,water bottle,237.62,57.50
123,vitamin bottle,141.41,316.30
124,football,51.49,68.60
124,water bottle,239.84,57.41
124,vitamin bottle,140.67,318.12
125,football,52.73,68.57
125,water bottle,242.80,58.36
125,vitamin bottle,140.15,319.44
126,football,53.36,68.94
126,water bottle,245.22,59.87
126,vitamin bottle,139.13,319.03
127,football,53.10,69.14
127,water bottle,245.78,60.68
127,vitamin bottle,137.85,317.33
128,football,52.68,68.88
128,water bottle,245.57,60.61
128,vitamin bottle,136.56,318.24
129,football,51.57,68.47
129,water bottle,244.44,60.07
129,vitamin bottle,133.53,319.87
130,football,50.53,67.85
130,water bottle,243.08,59.33
130,vitamin bottle,130.77,321.54
131,football,49.48,67.48
131,water bottle,242.03,58.94
131,vitamin bottle,127.24,324.02
132,football,47.93,67.21
132,water bottle,240.79,58.83
132,vitamin bottle,123.85,323.47
133,football,46.73,67.16
133,water bottle,240.18,59.38
133,vitamin bottle,121.17,322.61
134,football,45.71,66.34
134,water bottle,240.06,59.42
134,vitamin bottle,117.04,326.13
135,football,44.39,65.37
135,water bottle,239.81,59.14
135,vitamin bottle,110.85,330.60
136,football,42.50,65.11
136,water bottle,238.72,59.34
136,vitamin bottle,106.08,327.91
137,football,40.99,65.01
137,water bottle,237.62,59.51
137,vitamin bottle,104.77,323.11
138,football,39.71,64.08
138,water bottle,236.56,58.92
138,vitamin bottle,104.53,317.74
139,football,39.34,64.06
139,water bottle,236.38,58.64
139,vitamin bottle,106.60,315.51
140,football,39.09,63.51
140,water bottle,235.62,57.75
140,vitamin bottle,105.22,315.83
141,football,40.22,63.99
141,water bottle,236.97,58.06
141,vitamin bottle,105.13,315.99
142,football,41.38,64.19
142,water bottle,238.44,58.38
142,vitamin bottle,105.01,316.06
143,football,42.55,64.14
143,water bottle,239.92,58.39
143,vitamin bottle,104.82,316.07
144,football,44.09,64.11
144,water bottle,241.98,58.83
144,vitamin bottle,104.61,316.13
145,football,45.20,64.23
145,water bottle,243.65,59.42
145,vitamin bottle,104.63,316.17
146,football,45.86,64.19
146,water bottle,244.92,59.88
146,vitamin bottle,104.70,316.14
147,football,46.45,64.36
147,water bottle,246.21,60.60
147,vitamin bottle,104.61,316.22
148,football,47.05,64.27
148,water bottle,247.20,60.99
148,vitamin bottle,104.73,316.33
149,football,47.16,64.29
149,water bottle,247.71,61.35
149,vitamin bottle,104.76,316.45
150,football,47.28,64.05
150,water bottle,248.04,61.33
150,vitamin bottle,104.63,316.46
151,football,47.52,63.25
151,water bottle,248.53,60.96
151,vitamin bottle,104.70,316.39
152,football,47.85,61.79
152,water bottle,248.61,59.89
152,vitamin bottle,104.65,316.22
153,football,49.01,59.91
153,water bottle,249.35,58.26
153,vitamin bottle,104.55,316.25
154,football,51.47,59.19
154,water bottle,251.27,57.72
154,vitamin bottle,104.74,316.42
155,football,53.86,59.30
155,water bottle,253.00,57.99
155,vitamin bottle,104.78,316.57
156,football,55.44,59.84
156,water bottle,254.37,58.65
156,vitamin bottle,104.73,316.59
157,football,56.72,60.02
157,water bottle,255.23,59.26
157,vitamin bottle,104.60,316.57
158,football,57.77,59.48
158,water bottle,255.83,59.11
158,vitamin bottle,104.53,316.54
159,football,59.44,59.30
159,water bottle,257.09,59.52
159,vitamin bottle,104.43,316.53
160,football,61.65,59.63
160,water bottle,259.01,60.61
160,vitamin bottle,104.51,316.71
161,football,63.33,59.82
161,water bottle,260.44,61.32
161,vitamin bottle,104.61,316.76
162,football,64.53,60.33
162,water bottle,261.28,62.40
162,vitamin bottle,104.62,316.75
163,football,64.97,61.12
163,water bottle,261.88,63.76
163,vitamin bottle,104.57,316.75
164,football,65.40,61.73
164,water bottle,262.49,64.86
164,vitamin bottle,104.57,316.72
165,football,65.94,61.93
165,water bottle,263.25,65.67
165,vitamin bottle,104.58,316.70
166,football,66.85,62.83
166,water bottle,263.72,66.90
166,vitamin bottle,104.28,316.64
167,football,68.28,63.50
167,water bottle,264.85,68.38
167,vitamin bottle,104.41,316.68
168,football,69.99,63.73
168,water bottle,265.90,69.30
168,vitamin bottle,104.33,316.62
169,football,71.25,64.29
169,water bottle,266.73,70.45
169,vitamin bottle,104.27,316.62
170,football,71.38,66.60
170,water bottle,267.45,73.27
170,vitamin bottle,104.28,316.63
171,football,70.55,69.40
171,water bottle,268.10,76.67
171,vitamin bottle,104.14,316.69
172,football,69.83,71.43
172,water bottle,268.44,79.17
172,vitamin bottle,104.19,316.66
173,football,68.53,73.27
173,water bottle,268.79,81.05
173,vitamin bottle,104.27,316.66
174,football,66.81,75.73
174,water bottle,268.91,83.63
174,vitamin bottle,104.14,316.65
175,football,64.78,79.22
175,water bottle,268.89,86.14
175,vitamin bottle,104.19,316.64
176,football,60.39,88.09
176,water bottle,267.39,91.16
176,vitamin bottle,104.13,316.61
177,football,56.39,95.16
177,water bottle,265.64,96.35
177,vitamin bottle,104.15,316.65
178,football,52.98,101.57
178,water bottle,262.90,102.60
178,vitamin bottle,104.20,316.66
179,football,50.69,108.75
179,water bottle,259.87,110.29
179,vitamin bottle,104.18,316.61
180,football,49.12,116.17
180,water bottle,256.68,119.33
180,vitamin bottle,104.18,316.56
181,football,49.08,123.91
181,water bottle,253.84,130.47
181,vitamin bottle,104.05,316.40
182,football,50.53,131.66
182,water bottle,251.88,142.68
182,vitamin bottle,103.98,316.38
183,football,52.93,139.34
183,water bottle,250.50,155.30
183,vitamin bottle,103.95,316.27
184,football,54.43,146.88
184,water bottle,249.09,168.52
184,vitamin bottle,103.84,316.12
185,football,56.64,154.83
185,water bottle,243.96,182.34
185,vitamin bottle,103.74,315.91
186,football,60.84,162.50
186,water bottle,244.52,196.58
186,vitamin bottle,103.70,315.81
187,football,66.49,170.69
187,water bottle,248.00,210.43
187,vitamin bottle,103.82,315.94
188,football,71.08,179.10
188,water bottle,253.35,225.07
188,vitamin bottle,103.93,315.79
189,football,73.79,185.84
189,water bottle,258.95,239.73
189,vitamin bottle,103.88,315.92
190,football,,
190,water bottle,264.38,253.92
190,vitamin bottle,103.86,315.92
191,football,,
191,water bottle,270.94,269.56
191,vitamin bottle,103.93,315.64
192,football,,
192,water bottle,278.03,287.84
192,vitamin bottle,104.01,315.79
193,football,,
193,water bottle,286.28,306.94
